source_enum	members	decision	current_enums	member_reuse	reason
include/Gruntz/GruntzCommandId.h:GruntzCommandId	CMD_NEW_GAME=32773;CMD_NEW_GAME_ALT=32804;CMD_LOAD_WORLD=32895;CMD_SET_QUEST_AREA=33097;CMD_CONTINUE_AT_MAX_LEVEL=33140;CMD_START_BATTLEZ_GAME=32995;CMD_OPEN_BATTLEZ_SETUP=32993;CHEAT_PROGRAMMING_GOD=32827;CHEAT_TRAITOR_MODE=32835;CHEAT_OBJECT_COUNT_DISPLAY=32845;CHEAT_WORLD_POSITION_DISPLAY=32844;CHEAT_FRAME_RATE_DISPLAY=32843;CHEAT_DEBUG_FLAG20=32846;CHEAT_BRICK_TEXT_DISPLAY=32872;CHEAT_BRICK_TEXT_ALT_DISPLAY=32879;CHEAT_ELAPSED_TIME_DISPLAY=32878;CHEAT_MONOLITH=32902;CHEAT_NO_OP=32903;CHEAT_BRICK_GO_AWAY=32909;CHEAT_GIVE_BOMB=32997;CHEAT_GIVE_BOOMERANG=32998;CHEAT_GIVE_BRICK_LAYER=32999;CHEAT_GIVE_CLUB=33000;CHEAT_GIVE_GAUNTLET=33001;CHEAT_GIVE_GLOVE=33002;CHEAT_GIVE_GOOBER=33003;CHEAT_GIVE_GRAVITY_BOOT=33004;CHEAT_GIVE_GUN_HAT=33005;CHEAT_GIVE_SPONGE_GUN=33006;CHEAT_GIVE_ROCK=33007;CHEAT_GIVE_SHIELD=33008;CHEAT_GIVE_SHOVEL=33009;CHEAT_GIVE_SPRING=33010;CHEAT_GIVE_SPY_GEAR=33011;CHEAT_GIVE_SWORD=33012;CHEAT_GIVE_TIME_BOMB=33013;CHEAT_GIVE_TOOB=33014;CHEAT_GIVE_MAGIC_WAND=33015;CHEAT_GIVE_WARPSTONE=33016;CHEAT_GIVE_WELDERS_KIT=33017;CHEAT_GIVE_WING=33018;CHEAT_GIVE_BABY_WALKER=33019;CHEAT_GIVE_BEACH_BALL=33020;CHEAT_GIVE_MONSTER_WHEEL=33021;CHEAT_GIVE_GO_KART=33022;CHEAT_GIVE_JACK_IN_THE_BOX=33023;CHEAT_GIVE_JUMP_ROPE=33024;CHEAT_GIVE_POGO_STICK=33025;CHEAT_GIVE_SCROLL=33026;CHEAT_GIVE_SQUEAK_TOY=33027;CHEAT_GIVE_YO_YO=33028;CHEAT_NUKE=33030;CHEAT_KILL_TIMER=33031;CHEAT_GIVE_BOMB_BRICK=33064;CHEAT_GIVE_INDESTRUCTIBLE_BRICK=33065;CHEAT_GIVE_GAUNTLET_BREAKER_BRICK=33067;CHEAT_GIVE_TELEPORT_BRICK=33066;CHEAT_BRICK_ASSIMILATE=33072;CHEAT_BRICK_DEATH=33073;CHEAT_BRICK_SUPER_GRUNT=33074;CHEAT_BRICK_HURT=33075;CHEAT_BRICK_SWALLOW=33076;CHEAT_BRICK_NO_RUNNING=33077;CHEAT_COLOR_GRUNTZ=33078;CHEAT_REGION_MONITOR=33079;CHEAT_REGION_DARK=33080;CHEAT_REGION_WINDOW=33081;CHEAT_ABILITY_FREEZE=33084;CHEAT_ABILITY_HEAL=33085;CHEAT_ABILITY_ZOMBIE=33086;CHEAT_ABILITY_PARTY=33082;CHEAT_ABILITY_TELEPORT=33087;CHEAT_ABILITY_ROLL=33083;CHEAT_DEBUG_FLAG400=33135;CHEAT_WILD_WACKY=32958;CHEAT_WAWA=33141;CHEAT_KEVIN_LAMBERT=32890;CHEAT_KEVIN_LAMBERT_ALT=32891;CHEAT_KEVIN_LAMBERT_ALT2=33350;CHEAT_GOO_PUDDLEZ=33187;CHEAT_FILL_GOO=33188;CHEAT_GRUNT_CREATION=33189;CHEAT_GRUNT_DESTRUCTION=33190;CHEAT_CHEATELSON=33193;CHEAT_PSYCHE=33238;CHEAT_CLEAR_CHEATS=33239;CHEAT_WARP_TROPICZ=33344;CHEAT_WARP_SWEETZ=33345;CHEAT_WARP_ROLLERZ=33346;CHEAT_WARP_HONEY_SHRUNK=33347;CHEAT_WARP_MINIATURE_MASTERZ=33348;CHEAT_WARP_GRUNTZ_IN_SPACE=33349;CHEAT_EXPLOSIONZ=33351;CMD_LOAD_SAVED_GAME=32894;CMD_NO_OP80_8=32952;CMD_MULTI_CONNECT=32983;CMD_LOAD_GAME_DIALOG=32974;CMD_QUICK_SAVE_PROMPT=32975;CMD_QUICK_SAVE=32984;CMD_QUICK_LOAD=32985;CMD_RESTART_LEVEL=33136;CMD_RESTART_WORLD=33137;CMD_RESTART_WORLD_NO_CURSOR=33138;CMD_RESTART_GAME=33139;CMD_WARP_LEVEL1=32781;CMD_DEBUG_WARP_LEVEL37=33098;CMD_DEBUG_WARP_LEVEL38=33099;CMD_DEBUG_WARP_LEVEL39=33100;CMD_DEBUG_WARP_LEVEL40=33101;CMD_DEBUG_WARP_LEVEL1=33102;CMD_DEBUG_WARP_LEVEL2=33103;CMD_DEBUG_WARP_LEVEL3=33104;CMD_DEBUG_WARP_LEVEL4=33105;CMD_DEBUG_WARP_LEVEL5=33106;CMD_DEBUG_WARP_LEVEL6=33107;CMD_DEBUG_WARP_LEVEL7=33108;CMD_DEBUG_WARP_LEVEL8=33109;CMD_DEBUG_WARP_LEVEL9=33110;CMD_DEBUG_WARP_LEVEL10=33111;CMD_DEBUG_WARP_LEVEL11=33112;CMD_DEBUG_WARP_LEVEL12=33113;CMD_DEBUG_WARP_LEVEL13=33114;CMD_DEBUG_WARP_LEVEL14=33115;CMD_DEBUG_WARP_LEVEL15=33116;CMD_DEBUG_WARP_LEVEL16=33117;CMD_DEBUG_WARP_LEVEL17=33118;CMD_DEBUG_WARP_LEVEL18=33119;CMD_DEBUG_WARP_LEVEL19=33120;CMD_DEBUG_WARP_LEVEL20=33121;CMD_DEBUG_WARP_LEVEL21=33122;CMD_DEBUG_WARP_LEVEL22=33123;CMD_DEBUG_WARP_LEVEL23=33124;CMD_DEBUG_WARP_LEVEL24=33125;CMD_DEBUG_WARP_LEVEL25=33126;CMD_DEBUG_WARP_LEVEL26=33127;CMD_DEBUG_WARP_LEVEL27=33128;CMD_DEBUG_WARP_LEVEL28=33129;CMD_DEBUG_WARP_LEVEL29=33130;CMD_DEBUG_WARP_LEVEL30=33131;CMD_DEBUG_WARP_LEVEL31=33132;CMD_DEBUG_WARP_LEVEL32=33133;CMD_WEB_SITE=32824;CMD_MULTI_JOIN=32978;CMD_MULTI_HOST=32979;CMD_MAIN_MENU=32803;CMD_SHOW_CREDITS=32896;CMD_SHOW_BOOTY=32912;CMD_NEXT_STATE=32822;CMD_SHOW_HELP=32801;CMD_ATTRACT=32807;CMD_RETURN_TO_ATTRACT=32809;CMD_SHOW_STATE0=32939;CMD_SHOW_STATE07=32802;CMD_PAUSE_TOGGLE=32775;CMD_FINISH_LEVEL=33134;CMD_PRESENT_WORLD=32900;CMD_LOBBY_RESET=32951;CMD_EXIT_TO_ATTRACT=32782;CMD_CAPTURE_WORLD=32834;CMD_NEXT_LEVEL=32885;CMD_PREV_LEVEL=32783;CMD_RETURN_TO_MENU=32774;CMD_QUIT=32776;CMD_SHOW_BOOTY_STATE=32821;CMD_CONFIG_SETTINGS=32994;CMD_TOGGLE_MUSIC=32778;CMD_TOGGLE_SOUND=32777;CMD_RESTORE_VIDEO_MODE=32812;CMD_NEXT_RESOLUTION=32810;CMD_PREVIOUS_RESOLUTION=32811;CMD_SCREENSHOT=32880;CMD_RELOAD_LEVEL=32875;CMD_DEBUG_WARP_LEVEL101=33206;CMD_DEBUG_WARP_LEVEL102=33207;CMD_DEBUG_WARP_LEVEL103=33208;CMD_DEBUG_WARP_LEVEL104=33209;CMD_DEBUG_WARP_LEVEL105=33210;CMD_DEBUG_WARP_LEVEL106=33211;CMD_DEBUG_WARP_LEVEL107=33212;CMD_DEBUG_WARP_LEVEL108=33213;CMD_DEBUG_WARP_LEVEL109=33214;CMD_DEBUG_WARP_LEVEL110=33215;CMD_DEBUG_WARP_LEVEL111=33216;CMD_DEBUG_WARP_LEVEL112=33217;CMD_DEBUG_WARP_LEVEL113=33218;CMD_DEBUG_WARP_LEVEL114=33219;CMD_DEBUG_WARP_LEVEL115=33220;CMD_DEBUG_WARP_LEVEL116=33221;CMD_DEBUG_WARP_LEVEL117=33222;CMD_DEBUG_WARP_LEVEL118=33223;CMD_DEBUG_WARP_LEVEL119=33224;CMD_DEBUG_WARP_LEVEL120=33225;CMD_DEBUG_WARP_LEVEL121=33226;CMD_DEBUG_WARP_LEVEL122=33227;CMD_DEBUG_WARP_LEVEL123=33228;CMD_DEBUG_WARP_LEVEL124=33229;CMD_DEBUG_WARP_LEVEL125=33230;CMD_DEBUG_WARP_LEVEL126=33231;CMD_DEBUG_WARP_LEVEL127=33232;CMD_DEBUG_WARP_LEVEL128=33233;CMD_DEBUG_WARP_LEVEL129=33234;CMD_DEBUG_WARP_LEVEL130=33235;CMD_DEBUG_WARP_LEVEL131=33236;CMD_DEBUG_WARP_LEVEL132=33237	retain	include/Gruntz/GruntzCommandId.h:GruntzCommandId		All evaluated equal-value and overlapping-domain rows were reviewed; GruntzCommandId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/HealthPct.h:HealthPct	HEALTH_EMPTY=0;HEALTH_RESPAWN=25;HEALTH_FULL=100	retain	include/Gruntz/HealthPct.h:HealthPct		All evaluated equal-value and overlapping-domain rows were reviewed; HealthPct has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/ImageSets.h:TileImageSetKind	TILE_IMAGESET_UNIFORM=1;TILE_IMAGESET_RECT=2;TILE_IMAGESET_PIXELS=3	retain	include/Gruntz/ImageSets.h:TileImageSetKind		All evaluated equal-value and overlapping-domain rows were reviewed; TileImageSetKind has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/InGameIcon.h:InGameIconGlitter	ICON_GLITTER_NONE=0;ICON_GLITTER_CURSE_GREEN=1;ICON_GLITTER_POWERUP_RED=2	retain	include/Gruntz/InGameIcon.h:InGameIconGlitter		All evaluated equal-value and overlapping-domain rows were reviewed; InGameIconGlitter has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/InGameIcon.h:InGameTextVisibility	INGAME_TEXT_ALWAYS=0;INGAME_TEXT_EASY_ONLY=1;INGAME_TEXT_NORMAL_ONLY=2	retain	include/Gruntz/InGameIcon.h:InGameTextVisibility		All evaluated equal-value and overlapping-domain rows were reviewed; InGameTextVisibility has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/InputDeviceSel.h:InputDeviceSel	INPUTDEV_NONE=0;INPUTDEV_KEYBOARD=1;INPUTDEV_JOYSTICK1=2;INPUTDEV_JOYSTICK2=3;INPUTDEV_JOYSTICK3=4;INPUTDEV_JOYSTICK4=5;INPUTDEV_SELECTABLE_END=6;INPUTDEV_KEYBOARD_JOYSTICK1=6;INPUTDEV_KEYBOARD_MOUSE=7;INPUTDEV_KEYBOARD_JOYSTICK1_MOUSE=8	retain	include/Gruntz/InputDeviceSel.h:InputDeviceSel		All evaluated equal-value and overlapping-domain rows were reviewed; InputDeviceSel has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/InputState.h:InputDirectionBits	INPUT_DIRECTION_LEFT=1;INPUT_DIRECTION_RIGHT=2;INPUT_DIRECTION_UP=4;INPUT_DIRECTION_DOWN=8	retain	include/Gruntz/InputState.h:InputDirectionBits		All evaluated equal-value and overlapping-domain rows were reviewed; InputDirectionBits has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/LevelArea.h:LevelArea	AREA_ROCKY_ROADZ=1;AREA_GRUNTZICLEZ=2;AREA_TROUBLE_IN_THE_TROPICZ=3;AREA_HIGH_ON_SWEETZ=4;AREA_HIGH_ROLLERZ=5;AREA_HONEY_I_SHRUNK_THE_GRUNTZ=6;AREA_MINIATURE_MASTERZ=7;AREA_GRUNTZ_IN_SPACE=8;AREA_LAST=8;AREA_COUNT=8;AREA_TILESET_A_LAST=4;AREA_TILESET_B_FIRST=5	retain	include/Gruntz/LevelArea.h:LevelArea		All evaluated equal-value and overlapping-domain rows were reviewed; LevelArea has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/LogicRecordState.h:LogicRecordState	LOGICREC_INIT=0;LOGICREC_OP_1D=29;LOGICREC_OP_1E=30;LOGICREC_OP_50=80;LOGICREC_OP_51=81;LOGICREC_OP_52=82;LOGICREC_OP_53=83;LOGICREC_BUILT=1000	retain	include/Gruntz/LogicRecordState.h:LogicRecordState		All evaluated equal-value and overlapping-domain rows were reviewed; LogicRecordState has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/LogicTypeId.h:LogicTypeId	LOGIC_NONE=-1;LOGIC_UNSET=0;LOGIC_STATUSBARSPRITE=1023;LOGIC_TILETRIGGERSWITCH=1024;LOGIC_TILETRIGGER=1025;LOGIC_CHECKPOINTTRIGGER=1026;LOGIC_TILESECRETTRIGGER=1027;LOGIC_COVEREDPOWERUP=1028;LOGIC_GIANTROCK=1030;LOGIC_BOOMERANG=1043;LOGIC_ANICYCLE=1002;LOGIC_DONOTHING=1004;LOGIC_FRONTCANDY=1007;LOGIC_BEHINDCANDY=1008;LOGIC_EYECANDY=1009;LOGIC_BEHINDCANDYANI=1011;LOGIC_EYECANDYANI=1012;LOGIC_EXITTRIGGER=1015;LOGIC_TELEPORTER=1020;LOGIC_TILETRIGGERTRANSITION=1029;LOGIC_BRICKZ=1033;LOGIC_OBJECTDROPPER=1039;LOGIC_GRUNTSTAMINASPRITE=1040;LOGIC_GRUNTTOYTIMESPRITE=1041;LOGIC_STATICHAZARD=1046;LOGIC_GRUNTWINGZTIMESPRITE=1047;LOGIC_TOOBSPIKEZ=1048;LOGIC_PARTICLEZ=1052;LOGIC_SPOTLIGHT=1053;LOGIC_WAYPOINT=1056;LOGIC_ACTIONAREA=1059;LOGIC_PATHHAZARD=1060;LOGIC_RAINCLOUD=1061;LOGIC_UFO=1062;LOGIC_VOICETRIGGER=1067;LOGIC_FORTRESSFLAG=1063;LOGIC_TOYPEEK=1064;LOGIC_WARPSTONEPAD=1065;LOGIC_GUARDPOINT=1066;LOGIC_GRUNT=1000;LOGIC_ROLLINGBALL=1001;LOGIC_SINGLEFRAMEMESSAGE=1003;LOGIC_DONOTHINGNORMAL=1005;LOGIC_SIMPLEANIMATION=1006;LOGIC_FRONTCANDYANI=1010;LOGIC_MENUSPARKLE=1013;LOGIC_GRUNTSTARTINGPOINT=1014;LOGIC_GRUNTCREATIONPOINT=1016;LOGIC_WORMHOLE=1018;LOGIC_GRUNTPUDDLE=1019;LOGIC_CURSORSNAPSPRITE=1021;LOGIC_LEVELTIME=1022;LOGIC_INGAMEICON=1031;LOGIC_INGAMETEXT=1032;LOGIC_GRUNTSELECTEDSPRITE=1034;LOGIC_GRUNTHEALTHSPRITE=1035;LOGIC_GRUNTTOYSPRITE=1036;LOGIC_LIGHTFX=1037;LOGIC_PROJECTILE=1042;LOGIC_DROPPEDOBJECT=1044;LOGIC_DROPPEDOBJECTSHADOW=1045;LOGIC_TIMEBOMB=1049;LOGIC_GRUNTPOWERUPSPRITE=1050;LOGIC_EXPLOSION=1051;LOGIC_SECRETTELEPORTERTRIGGER=1054;LOGIC_KITCHENSLIME=1055;LOGIC_SINGLEANIMATION=1057;LOGIC_WARLORD=1058;LOGIC_SECRETLEVELTRIGGER=1068	retain	include/Gruntz/LogicTypeId.h:LogicTypeId		All evaluated equal-value and overlapping-domain rows were reviewed; LogicTypeId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/MapCellFlags.h:MapCellFlags	CELL_FLAG_SPECIAL=2;CELL_FLAG_REVEALED_POWERUP=64;CELL_FLAG_GAUNTLET_BRICK=16384;CELL_FLAG_HIDDEN_POWERUP=32768;CELL_FLAG_COVERED_POWERUP=65536;CELL_FLAG_CLAIM_VISITED=131072	retain	include/Gruntz/MapCellFlags.h:MapCellFlags		All evaluated equal-value and overlapping-domain rows were reviewed; MapCellFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/MenuItem.h:MenuItemFlags	MENU_ITEM_FLAGS_NONE=0;MENU_ITEM_INITIAL_DISABLED=1;MENU_ITEM_HOLD_FINAL_ANIMATION_FRAME=65536	retain	include/Gruntz/MenuItem.h:MenuItemFlags		All evaluated equal-value and overlapping-domain rows were reviewed; MenuItemFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/MenuItemState.h:MenuItemState	MENUSTATE_NORMAL=1;MENUSTATE_SELECTED=2;MENUSTATE_DISABLED=3	retain	include/Gruntz/MenuItemState.h:MenuItemState		All evaluated equal-value and overlapping-domain rows were reviewed; MenuItemState has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/MenuPage.h:MenuPageFlags	MENU_PAGE_FLAGS_NONE=0;MENU_PAGE_FORCE_WRAP=1;MENU_PAGE_DISABLE_WRAP=2;MENU_PAGE_MULTI_COLUMN=4;MENU_PAGE_HIDE_FOCUS_CURSORS=8	retain	include/Gruntz/MenuPage.h:MenuPageFlags		All evaluated equal-value and overlapping-domain rows were reviewed; MenuPageFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Minimap.h:MinimapTileColor	MINIMAP_TILE_COLOR_COUNT=500	retain	include/Gruntz/Minimap.h:MinimapTileColor		All evaluated equal-value and overlapping-domain rows were reviewed; MinimapTileColor has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/Minimap.h:MinimapLayout	MINIMAP_COMBAT_BLINK_PHASE_MS=50;MINIMAP_MAX_CELL_SCALE=3;MINIMAP_SNAP_MARGIN_PX=32;MINIMAP_BORDER_COLOR_16=65535	retain	include/Gruntz/Minimap.h:MinimapLayout		All evaluated equal-value and overlapping-domain rows were reviewed; MinimapLayout has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/MotionState.h:EInlineBase	INLINE_BASE=0	retain	include/Gruntz/MotionState.h:EInlineBase		All evaluated equal-value and overlapping-domain rows were reviewed; EInlineBase has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/MovieEntryId.h:MovieEntryId	MOVIE_ENTRY_LOGO=1;MOVIE_ENTRY_INTRO=2;MOVIE_ENTRY_ENDING=3;MOVIE_ENTRY_FIRST=1;MOVIE_ENTRY_LAST=3	retain	include/Gruntz/MovieEntryId.h:MovieEntryId		All evaluated equal-value and overlapping-domain rows were reviewed; MovieEntryId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/MovieId.h:MovieId	MOVIE_LOGO=-1;MOVIE_GRUNTZ0=0;MOVIE_GRUNTZ1=2;MOVIE_GRUNTZ2=4;MOVIE_GRUNTZ3=6;MOVIE_GRUNTZ4=8;MOVIE_GRUNTZ5=10;MOVIE_GRUNTZ6=12;MOVIE_GRUNTZ7=13;MOVIE_GRUNTZ8=14	retain	include/Gruntz/MovieId.h:MovieId		All evaluated equal-value and overlapping-domain rows were reviewed; MovieId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/MovingDeathTileId.h:MovingDeathTileSetAId	MOVING_DEATH_A_SE_1=104;MOVING_DEATH_A_S_1=105;MOVING_DEATH_A_S_2=106;MOVING_DEATH_A_SW_1=107;MOVING_DEATH_A_SE_2=108;MOVING_DEATH_A_SE_3=109;MOVING_DEATH_A_SW_2=112;MOVING_DEATH_A_SW_3=113;MOVING_DEATH_A_E_1=115;MOVING_DEATH_A_W_1=120;MOVING_DEATH_A_E_2=123;MOVING_DEATH_A_W_2=128;MOVING_DEATH_A_NE_1=130;MOVING_DEATH_A_NE_2=131;MOVING_DEATH_A_NW_1=134;MOVING_DEATH_A_NW_2=135;MOVING_DEATH_A_NE_3=136;MOVING_DEATH_A_N_1=137;MOVING_DEATH_A_N_2=138;MOVING_DEATH_A_NW_3=139	retain	include/Gruntz/MovingDeathTileId.h:MovingDeathTileSetAId		All evaluated equal-value and overlapping-domain rows were reviewed; MovingDeathTileSetAId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/MovingDeathTileId.h:MovingDeathTileSetBId	MOVING_DEATH_B_SE_1=99;MOVING_DEATH_B_SE_2=100;MOVING_DEATH_B_S_1=101;MOVING_DEATH_B_S_2=102;MOVING_DEATH_B_SW_1=103;MOVING_DEATH_B_SW_2=104;MOVING_DEATH_B_SE_3=105;MOVING_DEATH_B_SE_4=106;MOVING_DEATH_B_SE_5=107;MOVING_DEATH_B_SW_3=108;MOVING_DEATH_B_SW_4=109;MOVING_DEATH_B_SW_5=110;MOVING_DEATH_B_E_1=111;MOVING_DEATH_B_E_2=112;MOVING_DEATH_B_SE_6=113;MOVING_DEATH_B_SW_6=116;MOVING_DEATH_B_W_1=117;MOVING_DEATH_B_W_2=118;MOVING_DEATH_B_E_3=119;MOVING_DEATH_B_E_4=120;MOVING_DEATH_B_NE_1=121;MOVING_DEATH_B_NW_1=124;MOVING_DEATH_B_W_3=125;MOVING_DEATH_B_W_4=126;MOVING_DEATH_B_NE_2=127;MOVING_DEATH_B_NE_3=128;MOVING_DEATH_B_NE_4=129;MOVING_DEATH_B_NW_2=130;MOVING_DEATH_B_NW_3=131;MOVING_DEATH_B_NW_4=132;MOVING_DEATH_B_NE_5=133;MOVING_DEATH_B_N_1=134;MOVING_DEATH_B_N_2=135;MOVING_DEATH_B_N_3=136;MOVING_DEATH_B_N_4=137;MOVING_DEATH_B_NW_5=138	retain	include/Gruntz/MovingDeathTileId.h:MovingDeathTileSetBId		All evaluated equal-value and overlapping-domain rows were reviewed; MovingDeathTileSetBId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/MovingLogic.h:EGruntScale	GRUNT_SCALE=0	retain	include/Gruntz/MovingLogic.h:EGruntScale		All evaluated equal-value and overlapping-domain rows were reviewed; EGruntScale has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/MultiStartDlg.h:MultiplayerPlayerKind	MULTI_PLAYER_SLOT_CLOSED=0;MULTI_PLAYER_COMPUTER_EASY=1;MULTI_PLAYER_COMPUTER_NORMAL=2;MULTI_PLAYER_COMPUTER_DIFFICULT=3;MULTI_PLAYER_HUMAN=4	retain	include/Gruntz/MultiStartDlg.h:MultiplayerPlayerKind		All evaluated equal-value and overlapping-domain rows were reviewed; MultiplayerPlayerKind has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/MultiStartDlgCtrlId.h:MultiStartDlgCtrlId	IDC_MULTI_CUSTOM_WORLD=1067;IDC_MULTI_CHAT_INPUT=1069;IDC_MULTI_ECHO_LATENCY=1257;IDC_MULTI_WORLD=1279;IDC_MULTI_CHAT_LOG=1297;IDC_MULTI_GAME_NAME=1298;IDC_MULTI_LATENCY=1319	retain	include/Gruntz/MultiStartDlgCtrlId.h:MultiStartDlgCtrlId		All evaluated equal-value and overlapping-domain rows were reviewed; MultiStartDlgCtrlId has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/ObjectDropper.h:ObjectDropScope	OBJECT_DROP_ALL_PLAYERS=0;OBJECT_DROP_PLAYER_ZERO_ONLY=1	retain	include/Gruntz/ObjectDropper.h:ObjectDropScope		All evaluated equal-value and overlapping-domain rows were reviewed; ObjectDropScope has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/PathBuffer.h:GruntzPathBuffer	GRUNTZ_PATH_BUFFER_SIZE=256;GRUNTZ_PATH_BUFFER_MAX_CHARS=255	retain	include/Gruntz/PathBuffer.h:GruntzPathBuffer		All evaluated equal-value and overlapping-domain rows were reviewed; GruntzPathBuffer has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/PickupType.h:PickupType	PICKUP_INVALID=-1;PICKUP_NONE=0;PICKUP_BOMB=1;PICKUP_EQUIPPABLE_FIRST=1;PICKUP_BOOMERANG=2;PICKUP_BRICK=3;PICKUP_CLUB=4;PICKUP_GAUNTLETZ=5;PICKUP_GLOVEZ=6;PICKUP_GOOBER=7;PICKUP_GRAVITYBOOTZ=8;PICKUP_GUNHAT=9;PICKUP_NERFGUN=10;PICKUP_ROCK=11;PICKUP_SHIELD=12;PICKUP_SHOVEL=13;PICKUP_SPRING=14;PICKUP_SPY=15;PICKUP_SWORD=16;PICKUP_TIMEBOMB=17;PICKUP_MOVEICON_END=17;PICKUP_TOOB=18;PICKUP_WAND=19;PICKUP_WARPSTONE=20;PICKUP_WELDER=21;PICKUP_WINGZ=22;PICKUP_EQUIPPABLE_LAST=22;PICKUP_BABYWALKER=23;PICKUP_TOYZ_FIRST=23;PICKUP_EQUIPPABLE_END=23;PICKUP_BEACHBALL=24;PICKUP_BIGWHEEL=25;PICKUP_GOKART=26;PICKUP_JACKINTHEBOX=27;PICKUP_JUMPROPE=28;PICKUP_POGOSTICK=29;PICKUP_SCROLL=30;PICKUP_SQUEAKTOY=31;PICKUP_YOYO=32;PICKUP_TOYZ_LAST=32;PICKUP_BARE_HANDS_ICON=33;PICKUP_BROWNBRICK=34;PICKUP_BRICKZ_FIRST=34;PICKUP_REDBRICK=35;PICKUP_COLORBRICK_FIRST=35;PICKUP_BLUEBRICK=36;PICKUP_GOLDBRICK=37;PICKUP_BLACKBRICK=38;PICKUP_BRICKZ_LAST=38;PICKUP_MEGAPHONE=50;PICKUP_POWERUPZ_FIRST=50;PICKUP_HEALTH1=51;PICKUP_HEALTH2=52;PICKUP_HEALTH3=53;PICKUP_GHOST=54;PICKUP_TIMEDPOWERUP_FIRST=54;PICKUP_SUPERSPEED=55;PICKUP_INVULNERABILITY=56;PICKUP_CONVERSION=57;PICKUP_DEATHTOUCH=58;PICKUP_ROIDZ=59;PICKUP_REACTIVEARMOR=60;PICKUP_TIMEDPOWERUP_LAST=60;PICKUP_POWERUPZ_LAST=60;PICKUP_RANDOMCOLORZ=61;PICKUP_CURSEZ_FIRST=61;PICKUP_SCREENSHAKE=62;PICKUP_BLACKSCREEN=63;PICKUP_MINICAM=64;PICKUP_CURSEZ_LAST=64;PICKUP_STOPWATCH=75;PICKUP_COIN=80;PICKUP_TOYBOX=85;PICKUP_W=90;PICKUP_A=91;PICKUP_R=92;PICKUP_P=93;PICKUP_HELPBOX=94;PICKUP_COVEREDTIMEBOMB=99;GRUNT_NORMAL=0;GRUNT_BOMB=1;GRUNT_BOOMERANG=2;GRUNT_BRICK=3;GRUNT_CLUB=4;GRUNT_GAUNTLETZ=5;GRUNT_GLOVEZ=6;GRUNT_GOOBER=7;GRUNT_GRAVITYBOOTZ=8;GRUNT_GUNHAT=9;GRUNT_NERFGUN=10;GRUNT_ROCK=11;GRUNT_SHIELD=12;GRUNT_SHOVEL=13;GRUNT_SPRING=14;GRUNT_SPY=15;GRUNT_SWORD=16;GRUNT_TIMEBOMB=17;GRUNT_TOOB=18;GRUNT_WAND=19;GRUNT_WARPSTONE=20;GRUNT_WELDER=21;GRUNT_WINGZ=22;GRUNT_BABYWALKER=23;GRUNT_BEACHBALL=24;GRUNT_BIGWHEEL=25;GRUNT_GOKART=26;GRUNT_JACKINTHEBOX=27;GRUNT_JUMPROPE=28;GRUNT_POGOSTICK=29;GRUNT_SCROLL=30;GRUNT_SQUEAKTOY=31;GRUNT_YOYO=32;GRUNT_GHOST=54;GRUNT_SUPERSPEED=55;GRUNT_INVULNERABLE=56;GRUNT_CONVERSION=57;GRUNT_DEATHTOUCH=58;GRUNT_ROIDZ=59;GRUNT_REACTIVEARMOR=60;GRUNT_HAREKRISHNA=57;GRUNT_REAPER=58	retain	include/Gruntz/PickupType.h:PickupType		All evaluated equal-value and overlapping-domain rows were reviewed; PickupType has distinct producers, consumers, or encoding and does not transport another enum's values.
